E, E, E, E, E, G, G, G, G, G, G, W, W, W, W
E, E, G, G, G, G, G, G, G, G, G, G, W, W, W
E, G, G, G, G, G, G, G, G, G, G, G, G, G, W
G, G, G, G, G, G, G, G, G, G, G, G, G, G, G
G, G, G, G, G, G, G, G, G, G, G, G, G, G, G
R, R, P, X, X, P, N, N, P, G, G, G, G, G, U
P, P, P, P, P, P, P, P, P, G, G, G, G, U, U
P, P, P, P, P, P, P, P, P, G, G, G, G, U, U
P, P, P, P, P, P, P, P, P, G, G, G, G, U, U
P, V, P, P, Q, P, P, M, P, G, G, G, G, G, U
P, P, P, P, P, P, P, P, P, G, G, G, G, G, G
P, P, P, P, P, P, P, P, P, G, G, G, G, G, G
P, P, P, P, P, P, P, P, P, O, G, G, H, G, G
R, R, P, X, X, P, N, N, P, O, G, G, G, G, G
O, O, O, O, O, O, O, O, O, O, G, G, G, G, G
