K, K, K, K, K, K, K, G, G, G, G, G, W, W, W
K, K, K, K, K, G, G, G, G, G, G, G, G, W, W
K, K, K, G, G, G, G, G, G, G, G, G, G, G, W
K, G, G, G, G, G, G, G, G, G, G, H, G, G, G
G, G, G, G, G, G, G, G, G, G, G, G, G, G, G
G, G, G, G, G, G, G, G, G, G, G, G, G, G, G
O, O, O, G, G, G, O, O, O, O, G, G, G, G, G
P, X, X, P, P, P, R, R, P, O, G, G, G, G, G
P, P, P, P, P, P, P, P, P, O, G, G, G, G, E
P, P, P, P, P, P, P, P, P, G, G, G, G, G, E
P, A, P, P, P, P, P, M, P, G, G, G, G, E, E
P, P, P, P, P, P, P, P, P, G, G, G, G, E, E
P, P, P, P, P, P, P, P, P, O, G, G, E, E, E
P, V, P, P, Q, P, P, P, P, O, G, G, E, E, E
O, O, O, O, O, O, O, O, O, O, G, G, E, E, E
