U, U, U, U, G, G, O, P, P, P, P, P, P, P, O
U, U, U, G, G, G, O, X, P, P, B, A, P, V, O
U, U, U, G, G, G, O, X, P, P, P, P, P, P, O
U, U, G, G, G, G, G, P, P, P, P, P, P, P, O
U, U, G, G, G, G, G, P, P, P, P, P, P, Q, O
U, G, G, G, G, G, G, P, P, P, P, P, P, P, O
U, G, G, G, G, G, O, R, P, P, P, P, P, P, O
G, G, G, G, G, G, O, R, P, P, P, P, P, M, O
G, G, G, G, G, G, O, P, P, P, P, P, P, P, O
G, G, G, G, G, G, O, O, O, G, G, G, O, O, O
G, G, G, G, G, G, G, G, G, G, G, G, G, G, G
G, G, G, H, G, G, G, G, G, G, G, G, G, G, G
W, G, G, G, G, G, G, G, G, G, G, G, E, E, E
W, W, G, G, G, G, G, G, G, G, E, E, E, E, E
W, W, W, G, G, G, G, G, E, E, E, E, E, E, E
