E, E, E, E, G, W, W, W, W, W, W, U, U, U, U
E, E, E, G, G, G, W, W, W, G, W, W, U, U, U
E, E, G, G, G, G, W, W, W, G, G, W, W, U, U
E, E, G, G, G, G, G, W, G, G, G, G, W, U, U
E, G, G, G, H, G, G, G, G, G, G, G, W, W, U
E, G, G, G, G, G, G, G, G, G, G, G, G, W, U
G, G, G, G, G, G, G, G, G, G, G, G, G, G, G
G, G, G, G, G, G, G, G, G, G, G, G, G, G, G
O, O, O, O, O, G, G, G, G, G, O, O, O, O, O
O, P, P, P, P, P, P, P, P, P, P, P, P, P, O
O, P, P, P, P, P, P, P, P, P, P, P, P, P, O
O, P, V, P, P, Q, P, P, P, A, P, P, M, P, O
O, P, P, P, P, P, P, P, P, P, P, P, P, P, O
O, P, P, P, P, P, P, P, P, P, P, P, P, P, O
O, X, X, X, P, P, C, C, C, P, P, R, R, R, O
