E, E, E, E, G, W, W, W, W, W, G, U, U, U, U
E, E, E, G, G, G, W, W, W, G, G, G, U, U, U
E, E, G, G, G, G, W, W, W, G, G, G, G, U, U
E, E, G, G, G, G, G, W, G, G, G, G, G, U, U
E, G, G, G, H, G, G, G, G, G, G, G, G, G, U
E, G, G, G, G, G, G, G, G, G, G, G, G, G, U
G, G, G, G, G, G, G, G, G, G, G, G, G, G, G
G, G, G, G, G, G, G, G, G, G, G, G, G, G, G
O, O, O, O, O, G, G, G, G, G, O, O, O, O, O
O, P, P, P, P, P, P, P, P, P, P, P, P, P, O
O, P, P, P, P, P, P, P, P, P, P, P, P, P, O
O, P, V, P, P, P, P, P, P, A, P, P, M, P, O
O, P, P, P, P, P, P, P, P, P, P, P, P, P, O
O, P, P, P, P, P, P, P, P, P, P, P, P, P, O
O, X, X, X, P, P, C, C, C, P, P, R, R, R, O
